id,name,grade,pingjia
158,花样年华,8.7,507497人评价
159,卢旺达饭店,8.9,277548人评价
160,上帝之城,9.0,267339人评价
161,三块广告牌,8.7,718673人评价
162,风之谷,8.9,318393人评价
163,疯狂原始人,8.7,744268人评价
164,你的名字。,8.5,1202845人评价
165,谍影重重3,8.8,368373人评价
166,英雄本色,8.6,455605人评价
167,头脑特工队,8.7,516899人评价
168,达拉斯买家俱乐部,8.8,391102人评价
169,纵横四海,8.8,359386人评价
170,心迷宫,8.7,435846人评价
171,岁月神偷,8.7,521581人评价
172,记忆碎片,8.7,532204人评价
173,惊魂记,9.0,229788人评价
174,忠犬八公物语,9.2,166538人评价
175,海街日记,8.8,374005人评价
176,荒蛮故事,8.8,379213人评价
177,九品芝麻官,8.6,545687人评价
178,爆裂鼓手,8.7,494588人评价
179,贫民窟的百万富翁,8.6,659377人评价
180,真爱至上,8.6,628347人评价
181,东邪西毒,8.6,511206人评价
182,绿里奇迹,8.9,269000人评价
183,小偷家族,8.7,720501人评价
184,爱在午夜降临前,8.8,319082人评价
185,无敌破坏王,8.7,461918人评价
186,黑天鹅,8.6,711117人评价
187,冰川时代,8.6,538960人评价
188,你看起来好像很好吃,8.9,292444人评价
189,疯狂的石头,8.5,702160人评价
190,萤火虫之墓,8.7,367031人评价
191,色，戒,8.5,627330人评价
192,雨人,8.7,357355人评价
193,雨中曲,9.1,182882人评价
194,恐怖游轮,8.5,700515人评价
195,恋恋笔记本,8.6,574884人评价
196,魔女宅急便,8.7,397615人评价
197,2001太空漫游,8.9,263298人评价
198,城市之光,9.3,119982人评价
199,可可西里,8.8,259373人评价
200,虎口脱险,8.9,213463人评价
201,人工智能,8.7,383276人评价
202,二十二,8.7,263133人评价
203,遗愿清单,8.7,362908人评价
204,初恋这件小事,8.4,883603人评价
205,海边的曼彻斯特,8.6,425683人评价
206,大佛普拉斯,8.7,367325人评价
207,奇迹男孩,8.6,493933人评价
208,罗生门,8.8,268146人评价
209,终结者2：审判日,8.8,300476人评价
210,牯岭街少年杀人事件,8.9,234145人评价
211,房间,8.8,333137人评价
212,无间道2,8.7,379922人评价
213,源代码,8.5,713680人评价
214,青蛇,8.6,451441人评价
215,东京教父,9.0,168071人评价
216,新龙门客栈,8.6,384042人评价
217,疯狂的麦克斯4：狂暴之路,8.6,455371人评价
218,魂断蓝桥,8.8,240926人评价
219,波西米亚狂想曲,8.7,507793人评价
220,无耻混蛋,8.6,412566人评价
221,步履不停,8.8,236728人评价
222,血钻,8.7,321734人评价
223,茶馆,9.5,84706人评价
224,彗星来的那一夜,8.5,468075人评价
225,千钧一发,8.8,238986人评价
226,战争之王,8.7,311490人评价
227,燃情岁月,8.8,253316人评价
228,黑客帝国2：重装上阵,8.6,341660人评价
229,谍影重重2,8.7,308960人评价
230,崖上的波妞,8.6,407280人评价
231,背靠背，脸对脸,9.5,86510人评价
232,海洋,9.1,144425人评价
233,小丑,8.7,866659人评价
234,阿飞正传,8.5,436273人评价
235,穿越时空的少女,8.6,339380人评价
236,谍影重重,8.6,370389人评价
237,地球上的星星,8.9,181250人评价
238,香水,8.5,485821人评价
239,再次出发之纽约遇见你,8.6,371403人评价
240,完美陌生人,8.5,469557人评价
241,我爱你,9.1,143952人评价
242,爱乐之城,8.4,730925人评价
243,朗读者,8.6,410825人评价
244,火星救援,8.5,610420人评价
245,聚焦,8.8,244076人评价
246,小萝莉的猴神大叔,8.4,433291人评价
247,驴得水,8.3,805754人评价
248,浪潮,8.7,239301人评价
249,猜火车,8.6,375710人评价
250,千年女优,8.8,206948人评价
